y,n,p,m,log_n,r_2y_minus_log_n,K_center,K_tail_low,K_tail_high,term_center,term_tail_low,term_tail_high
1.50000000000000000000E+0,41,41,1,3.713572066704307803866763373037E+0,-7.135720667043078038667633730374E-1,3.081520528443439196094111771751E-3,3.080240162706508175032931108045E-3,3.082801326226583935670202730057E-3,1.787166410188439481680637474871E-3,1.786423846049509297426301704654E-3,1.787909224897980401685612109046E-3
1.50000000000000000000E+0,43,43,1,3.761200115693562423472842513346E+0,-7.612001156935624234728425133458E-1,6.956842820304024515376266634563E-4,6.953038696164356313213611800563E-4,6.960648679465605040085506026599E-4,3.990289489351277687943110908574E-4,3.988107528803541447803146925499E-4,3.992472445068788402340305783699E-4
1.50000000000000000000E+0,47,47,1,3.850147601710058586820950669772E+0,-8.501476017100585868209506697722E-1,8.318587846822143563453297979134E-6,8.309763882659971191638682032751E-6,8.327419963606636697861814710825E-6,4.671733468921136281339300890411E-6,4.666777915230526479013458644129E-6,4.676693601138685596604075570531E-6
1.50000000000000000000E+0,49,7,2,3.891820298110626610210705486886E+0,-8.918202981106266102107054868864E-1,2.276229325149845357956460003717E-7,2.272488307444574966089209140113E-7,2.279975805789886646732849410025E-7,6.327625350552015421399682846348E-8,6.317225801522756458003359040651E-8,6.338040085838723406879296901123E-8
1.50000000000000000000E+0,53,53,1,3.970291913552121834144469139029E+0,-9.702919135521218341444691390291E-1,3.105977224481156674107414622511E-15,3.080064704457378235814598510407E-15,3.132091404522351606981732848389E-15,1.693880510813733868591505312096E-15,1.679748819084512942870254833424E-15,1.708122180159860603872505135799E-15
1.75000000000000000000E+0,13,13,1,2.564949357461536736053487441565E+0,9.350506425384632639465125584347E-1,3.665805316332550292271965310231E-10,3.654163912723571004145820339314E-10,3.677480331902407399034757133282E-10,2.607813416686540614304695358573E-10,2.599531850727404647781810958577E-10,2.616118893823432744811652106942E-10
1.75000000000000000000E+0,16,2,4,2.772588722239781237668928485833E+0,7.274112777602187623310715141673E-1,2.083115123494277405784418557242E-3,2.082181056265191036013111072513E-3,2.084049533741723070700086009082E-3,3.609763436579601680834760687056E-4,3.608144821413865036467194957272E-4,3.611382646150859889521381755387E-4
1.75000000000000000000E+0,17,17,1,2.833213344056216080249534617873E+0,6.667866559437839197504653821269E-1,9.539365286844059327428693384449E-3,9.536250441468076029545574395573E-3,9.542480934292414475946172588136E-3,6.555024168332932879008730359349E-3,6.552883786231374262863522039354E-3,6.557165101582667934513074271412E-3
1.75000000000000000000E+0,19,19,1,2.944438979166440460009027431888E+0,5.555610208335595399909725681121E-1,6.160411485044094303648239136565E-2,6.159181871702507895720491820621E-2,6.161641278831562415727163269675E-2,4.161361834540358656258260563335E-2,4.160531229954391994934526871675E-2,4.162192561017631952964057284714E-2
1.75000000000000000000E+0,23,23,1,3.135494215929149690806752831810E+0,3.645057840708503091932471681898E-1,3.527795603563248178854029940229E-1,3.527468399795469135092548023678E-1,3.528122824394802844425185971394E-1,2.306457734426875912642953797030E-1,2.306243809997647267689452536012E-1,2.306671670012328354036164491273E-1
1.75000000000000000000E+0,25,5,2,3.218875824868200749201518666452E+0,2.811241751317992507984813335476E-1,5.431982814709966496509506920238E-1,5.431620954099126614536673466525E-1,5.432344687256121019657987026497E-1,1.748487816336943427684539927476E-1,1.748371337899722974077459454111E-1,1.748604298615993457359197706928E-1
1.75000000000000000000E+0,27,3,3,3.295836866004329074185735710768E+0,2.041631339956709258142642892324E-1,7.237392388634412069383151200995E-1,7.237047552962180158583819065273E-1,7.237737228654435108730661425722E-1,1.530187640632211089556233312091E-1,1.530114732704139231586763543243E-1,1.530260549479527876044786015798E-1
1.75000000000000000000E+0,29,29,1,3.367295829986474027183272032362E+0,1.327041700135259728167279676381E-1,8.707727430288900004376531912379E-1,8.707454085059297417424266492890E-1,8.708000770143248983749879427465E-1,5.444864793334502665145259360232E-1,5.444693872984847246165734127960E-1,5.445035710323059639386292890671E-1
1.75000000000000000000E+0,31,31,1,3.433987204485146245929164324542E+0,6.601279551485375407083567545764E-2,9.659206333837811378111446367406E-1,9.659052263784283130658438565522E-1,9.659360389399324763886602540177E-1,5.957434401735574567099057290412E-1,5.957339377133610014560495231552E-1,5.957529417399410571231303652398E-1
1.75000000000000000000E+0,32,2,5,3.465735902799726547086160607291E+0,3.426409720027345291383939270912E-2,9.906660052991952331378460350488E-1,9.906577414728048022937343532993E-1,9.906742673821499943053108036843E-1,1.213885523939988816674405283893E-1,1.213875398086094529018321674846E-1,1.213895647657611838312897392344E-1
1.75000000000000000000E+0,37,37,1,3.610917912644224444368095671031E+0,-1.109179126442244443680956710314E-1,9.074659817550662448683212375736E-1,9.074420067731635794104527886446E-1,9.074899558826704344322556539733E-1,5.387001633407501563348302564612E-1,5.386859310423205460208888351283E-1,5.387143951320414961697451105904E-1
